industry,joblocation_address,"	numberofpositions",skills
Wellness / Fitness / Sports / Beauty,Bengaluru/Banglore,1,Medical
Recruitment / Staffing,Bengaluru/Banglore,1,IT Software - ERP
Education / Teaching / Training,Bengaluru/Banglore,1,Teaching
BPO / Call Centre / ITES,Bengaluru/Banglore,100,ITES
IT-Software / Software Services,Bengaluru/Banglore,1,ITES
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Network Administration
IT-Software / Software Services,Bengaluru/Banglore,19,IT Software - Application Programming
FMCG / Foods / Beverage,Bengaluru/Banglore,20,Sales
FMCG / Foods / Beverage,Bengaluru/Banglore,3,Sales
Internet / Ecommerce,Bengaluru/Banglore,1,Sales
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
Education / Teaching / Training,Bengaluru/Banglore,1,Teaching
BPO / Call Centre / ITES,Bengaluru/Banglore,1,ITES
KPO / Research / Analytics,Bengaluru/Banglore,1,Analytics & Business Intelligence
Travel / Hotels / Restaurants / Airlines / Railways,Bengaluru/Banglore,2,Hotels
Industrial Products / Heavy Machinery,Bengaluru/Banglore,4,Production
IT-Hardware & Networking,Bengaluru/Banglore,1,IT Hardware
Internet / Ecommerce,Bengaluru/Banglore,1,Supply Chain
Travel / Hotels / Restaurants / Airlines / Railways,Bengaluru/Banglore,1,Travel
IT-Software / Software Services,Bengaluru/Banglore,1,HR
Automobile / Auto Anciliary / Auto Components,Bengaluru/Banglore,30,Production
Recruitment / Staffing,Bengaluru/Banglore,1,HR
Industrial Products / Heavy Machinery,Bengaluru/Banglore,1,Sales
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
Other,Bengaluru/Banglore,25,Site Engineering
IT-Software / Software Services,Bengaluru/Banglore,5,IT Software - Application Programming
IT-Software / Software Services,Bengaluru/Banglore,1,Sales
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
Telecom/ISP,Bengaluru/Banglore,1,Sales
Automobile / Auto Anciliary / Auto Components,Bengaluru/Banglore,1,Production
IT-Software / Software Services,Bengaluru/Banglore,2,Sales
Recruitment / Staffing,Bengaluru/Banglore,1,IT Software - DBA
Semiconductors / Electronics,Bengaluru/Banglore,5,HR
Courier / Transportation / Freight / Warehousing,Bengaluru/Banglore,1,IT Software - ERP
BPO / Call Centre / ITES,Bengaluru/Banglore,1,ITES
Strategy / Management Consulting Firms,Bengaluru/Banglore,1,IT Software - Application Programming
BPO / Call Centre / ITES,Bengaluru/Banglore,25,ITES
BPO / Call Centre / ITES,Bengaluru/Banglore,5,ITES
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - ERP
Automobile / Auto Anciliary / Auto Components,Bengaluru/Banglore,1,ITES
Travel / Hotels / Restaurants / Airlines / Railways,Bengaluru/Banglore,1,Hotels
Recruitment / Staffing,Bengaluru/Banglore,1,IT Software - ERP
Media / Entertainment / Internet,Bengaluru/Banglore,1,Sales
Recruitment / Staffing,Bengaluru/Banglore,1,ITES
Medical / Healthcare / Hospitals,Bengaluru/Banglore,1,ITES
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
Recruitment / Staffing,Bengaluru/Banglore,1,HR
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Client/Server Programming
IT-Software / Software Services,Bengaluru/Banglore,20,IT Software - Application Programming
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
IT-Software / Software Services,Bengaluru/Banglore,1,HR
Oil and Gas / Energy / Power / Infrastructure,Bengaluru/Banglore,15,Engineering Design
Recruitment / Staffing,Bengaluru/Banglore,1,HR
BPO / Call Centre / ITES,Bengaluru/Banglore,25,Sales
Banking / Financial Services / Broking,Bengaluru/Banglore,1,Executive Assistant
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
BPO / Call Centre / ITES,Bengaluru/Banglore,10,HR
Pharma / Biotech / Clinical Research,Bengaluru/Banglore,1,Sales
BPO / Call Centre / ITES,Bengaluru/Banglore,4,ITES
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
Semiconductors / Electronics,Bengaluru/Banglore,5,HR
IT-Hardware & Networking,Bengaluru/Banglore,5,ITES
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
Banking / Financial Services / Broking,Bengaluru/Banglore,10,Sales
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Telecom Software
IT-Software / Software Services,Bengaluru/Banglore,3,IT Software - Application Programming
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
IT-Software / Software Services,Bengaluru/Banglore,10,IT Software - Application Programming
Automobile / Auto Anciliary / Auto Components,Bengaluru/Banglore,20,Production
Medical / Healthcare / Hospitals,Bengaluru/Banglore,1,Production
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
Banking / Financial Services / Broking,Bengaluru/Banglore,5,Sales
IT-Software / Software Services,Bengaluru/Banglore,1,ITES
Medical / Healthcare / Hospitals,Bengaluru/Banglore,1,IT Software - Application Programming
BPO / Call Centre / ITES,Bengaluru/Banglore,30,ITES
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Telecom Software
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
Banking / Financial Services / Broking,Bengaluru/Banglore,1,ITES
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
Advertising / PR / MR / Event Management,Bengaluru/Banglore,5,Marketing
Pharma / Biotech / Clinical Research,Bengaluru/Banglore,1,Medical
Banking / Financial Services / Broking,Bengaluru/Banglore,1,Accounts
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
Real Estate / Property,Bengaluru/Banglore,1,Sales
Recruitment / Staffing,Bengaluru/Banglore,1,HR
Recruitment / Staffing,Bengaluru/Banglore,1,ITES
Pharma / Biotech / Clinical Research,Bengaluru/Banglore,20,Sales
Banking / Financial Services / Broking,Bengaluru/Banglore,1,Sales
IT-Software / Software Services,Bengaluru/Banglore,6,IT Software - Application Programming
IT-Software / Software Services,Bengaluru/Banglore,2,HR
Recruitment / Staffing,Bengaluru/Banglore,2,HR
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
Education / Teaching / Training,Bengaluru/Banglore,6,Teaching
BPO / Call Centre / ITES,Bengaluru/Banglore,1,Sales
Agriculture / Dairy,Bengaluru/Banglore,10,Sales
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Embedded
BPO / Call Centre / ITES,Bengaluru/Banglore,1,ITES
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - System Programming
Medical / Healthcare / Hospitals,Bengaluru/Banglore,1,Medical
IT-Software / Software Services,Bengaluru/Banglore,4,IT Software - eCommerce
Recruitment / Staffing,Bengaluru/Banglore,1,HR
Internet / Ecommerce,Bengaluru/Banglore,30,Sales
Pharma / Biotech / Clinical Research,Bengaluru/Banglore,2,Medical
Oil and Gas / Energy / Power / Infrastructure,Bengaluru/Banglore,1,IT Software - Network Administration
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - ERP
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
Recruitment / Staffing,Bengaluru/Banglore,1,HR
IT-Software / Software Services,Bengaluru/Banglore,8,IT Software - Application Programming
BPO / Call Centre / ITES,Bengaluru/Banglore,1,ITES
IT-Software / Software Services,Bengaluru/Banglore,2,IT Software - Application Programming
BPO / Call Centre / ITES,Bengaluru/Banglore,1,HR
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
Banking / Financial Services / Broking,Bengaluru/Banglore,1,Accounts
Banking / Financial Services / Broking,Bengaluru/Banglore,20,Accounts
IT-Software / Software Services,Bengaluru/Banglore,1,IT Software - Application Programming
